iso3,name,region,fiberBase,euExportShare,notes,sourceIds
CHN,China,East Asia,mixed,16,World's largest textile exporter across all HS 50-63 chapters,ember2024;aqueduct40;ituc2025;fti2024;comtrade2024;v10-model;v10-reg2026
TWN,Taiwan,East Asia,synthetic,9,Global hub for functional and recycled synthetics; strong traceability tech,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
JPN,Japan,East Asia,synthetic,7,High-spec technical fibers and premium fabrics,ember2024;aqueduct40;ituc2025;fti2024;comtrade2024;v10-model;v10-reg2026
KOR,South Korea,East Asia,synthetic,7,Synthetics and technical textiles; nuclear-heavy grid,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
IND,India,South & Central Asia,cotton,21,Cotton-dominant base; large integrated mills,ember2024;aqueduct40;ituc2025;fti2024;comtrade2024;v10-model;v10-reg2026
BGD,Bangladesh,South & Central Asia,cotton,50,RMG powerhouse; roughly half of exports go to the EU,ember2024;aqueduct40;ituc2025;fti2024;comtrade2024;v10-model;v10-reg2026
PAK,Pakistan,South & Central Asia,cotton,35,Cotton and denim heavy; severe water stress,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
LKA,Sri Lanka,South & Central Asia,mixed,28,Apparel-focused with strong compliance track record,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
UZB,Uzbekistan,South & Central Asia,cotton,14,Post-boycott cotton reformer; vertically integrating,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
VNM,Vietnam,Southeast Asia,mixed,14,Fast-growing apparel exporter; EVFTA links to EU market,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
IDN,Indonesia,Southeast Asia,mixed,10,Large viscose and polyester capacity; coal-heavy grid,ember2024;aqueduct40;ituc2025;fti2024;comtrade2024;v10-model;v10-reg2026
KHM,Cambodia,Southeast Asia,mixed,33,Apparel assembly; EBA trade preferences with EU,ember2024;aqueduct40;ituc2025;comtrade2024;v10-model;v10-reg2026
